feedback_id	customer_id	visit_date	ride_id	rating	category	sentiment	comments	submitted_at
F060	C060	18-10-2023		5	cleanliness	positive	Absolutely loved it! Will come back soon.	27-08-2024 18:27
F061	C061	04-02-2024	R061	1	ride	negative	Staff seemed disinterested and unhelpful.	26-08-2024 14:17
F062	C062	19-09-2023	R062	2	food	negative	Overpriced food with tiny portions.	25-09-2023 13:27
F063	C063	27-07-2023		3	general	neutral	Ride was fine, food was mediocre.	17-03-2024 18:43
F064	C064	30-03-2024	R064	4	wait_times	positive	Clean, well-organised and so much fun.	11-10-2024 16:42
F065	C065	05-11-2023	R065	5	staff	positive	Absolutely loved it! Will come back soon.	17-07-2023 11:25
F066	C066	02-04-2024		1	cleanliness	negative	Staff seemed disinterested and unhelpful.	27-07-2023 08:13
F067	C067	02-11-2023	R067	2	ride	negative	Overpriced food with tiny portions.	03-01-2024 20:08
F068	C068	26-06-2024	R068	3	food	neutral	Ride was fine, food was mediocre.	17-02-2024 12:20
F069	C069	01-08-2023		4	general	positive	Clean, well-organised and so much fun.	08-06-2023 15:47
F070	C070	07-01-2024	R070	5	wait_times	positive	Absolutely loved it! Will come back soon.	27-11-2023 10:24
F071	C071	28-02-2024	R071	1	staff	negative	Staff seemed disinterested and unhelpful.	22-01-2024 16:35
F072	C072	31-07-2024		2	cleanliness	negative	Overpriced food with tiny portions.	28-05-2024 09:25
F073	C073	15-08-2024	R073	3	ride	neutral	Ride was fine, food was mediocre.	14-07-2023 14:01
F074	C074	22-01-2024	R074	4	food	positive	Clean, well-organised and so much fun.	19-08-2023 13:36
F075	C075	06-01-2024		5	general	positive	Absolutely loved it! Will come back soon.	19-07-2024 19:40
F076	C076	31-12-2023	R076	1	wait_times	negative	Staff seemed disinterested and unhelpful.	23-03-2024 09:25
F077	C077	11-06-2023	R077	2	staff	negative	Overpriced food with tiny portions.	28-04-2024 10:51
F078	C078	28-09-2024		3	cleanliness	neutral	Ride was fine, food was mediocre.	14-09-2024 19:58
F079	C079	03-12-2023	R079	4	ride	positive	Clean, well-organised and so much fun.	30-08-2023 14:54
F080	C080	25-07-2023	R080	5	food	positive	Absolutely loved it! Will come back soon.	05-02-2024 14:37
F081	C081	23-12-2023		1	general	negative	Staff seemed disinterested and unhelpful.	20-08-2023 14:55
F082	C082	06-11-2023	R082	2	wait_times	negative	Overpriced food with tiny portions.	13-05-2024 11:21
F083	C083	03-07-2024	R083	3	staff	neutral	Ride was fine, food was mediocre.	20-11-2023 09:32
F084	C084	20-04-2024		4	cleanliness	positive	Clean, well-organised and so much fun.	25-09-2023 16:32
F085	C085	08-09-2023	R085	5	ride	positive	Absolutely loved it! Will come back soon.	23-05-2024 13:46
F086	C086	24-07-2024	R086	1	food	negative	Staff seemed disinterested and unhelpful.	30-10-2023 11:06
F087	C087	14-08-2023		2	general	negative	Overpriced food with tiny portions.	18-02-2024 11:11
F088	C088	04-04-2024	R088	3	wait_times	neutral	Ride was fine, food was mediocre.	04-11-2023 20:48
F089	C089	01-05-2024	R089	4	staff	positive	Clean, well-organised and so much fun.	17-08-2023 10:49
F090	C090	17-04-2024		5	cleanliness	positive	Absolutely loved it! Will come back soon.	18-10-2024 15:48
F091	C091	15-03-2024	R091	1	ride	negative	Staff seemed disinterested and unhelpful.	02-09-2024 18:59
F092	C092	25-08-2024	R092	2	food	negative	Overpriced food with tiny portions.	26-04-2024 18:20
F093	C093	17-08-2023		3	general	neutral	Ride was fine, food was mediocre.	24-08-2024 09:30
F094	C094	13-01-2024	R094	4	wait_times	positive	Clean, well-organised and so much fun.	06-04-2024 20:17
F095	C095	29-03-2024	R095	5	staff	positive	Absolutely loved it! Will come back soon.	28-07-2023 13:32
F096	C096	08-07-2023		1	cleanliness	negative	Staff seemed disinterested and unhelpful.	13-04-2024 15:28
F097	C097	20-06-2023	R097	2	ride	negative	Overpriced food with tiny portions.	29-07-2023 13:53
F098	C098	25-10-2023	R098	3	food	neutral	Ride was fine, food was mediocre.	18-08-2023 18:55
F099	C099	11-08-2024		4	general	positive	Clean, well-organised and so much fun.	01-09-2023 17:38
F100	C100	15-02-2024	R100	5	wait_times	positive	Absolutely loved it! Will come back soon.	28-06-2024 15:37
