ride_id,ride_name,ride_type,min_height_cm,thrill_level,capacity_per_hour,zone,is_haunted,opened_date,status,avg_wait_minutes
R050,Drift Hunt,dark_ride,0,medium,890,Horror Quarter,FALSE,07-04-2009,closed,0
R051,Claw Castle,drop_tower,100,high,345,Splash Valley,FALSE,24-11-2020,active,32
R052,Fang Dungeon,water_ride,80,extreme,832,Family Land,FALSE,02-02-2023,active,39
R053,Roar Palace,carousel,0,low,1003,Kids Corner,FALSE,19-02-2021,active,52
R054,Howl Temple,kiddie_ride,0,medium,1054,Main Street,FALSE,16-01-2020,maintenance,0
R055,Slash Fortress,roller_coaster,90,high,672,Adventure Zone,FALSE,04-09-2014,closed,0
R056,Strike Citadel,dark_ride,0,extreme,371,Horror Quarter,FALSE,25-11-2019,active,26
R057,Crash Keep,drop_tower,120,low,621,Splash Valley,FALSE,18-11-2019,active,59
R058,Smash Tower,water_ride,80,medium,1037,Family Land,FALSE,27-09-2011,active,37
R059,Blast Spire,carousel,0,high,616,Kids Corner,FALSE,17-12-2019,maintenance,0
R060,Boom Vault,kiddie_ride,0,extreme,718,Main Street,FALSE,26-04-2012,closed,0
R061,Haze Cavern,roller_coaster,110,low,1013,Adventure Zone,FALSE,20-08-2011,active,40
R062,Mist Canyon,dark_ride,0,medium,430,Horror Quarter,FALSE,21-04-2009,active,31
R063,Fog Gorge,drop_tower,130,high,688,Splash Valley,FALSE,11-03-2020,active,52
R064,Dusk Ravine,water_ride,90,extreme,930,Family Land,FALSE,07-10-2017,maintenance,0
R065,Dawn Valley,carousel,0,low,608,Kids Corner,FALSE,09-02-2014,closed,0
R066,Glow Peak,kiddie_ride,0,medium,861,Main Street,FALSE,04-01-2005,active,24
R067,Gleam Summit,roller_coaster,100,high,515,Adventure Zone,FALSE,23-08-2014,active,55
R068,Spark Ridge,dark_ride,0,extreme,893,Horror Quarter,FALSE,10-08-2018,active,46
R069,Flare Cliff,drop_tower,100,low,776,Splash Valley,FALSE,29-11-2014,maintenance,0
R070,Beam Crest,water_ride,110,medium,991,Family Land,FALSE,17-10-2009,closed,0
R071,Serpent Lagoon,carousel,0,high,823,Kids Corner,FALSE,13-08-2015,active,55
R072,Dragon Bay,kiddie_ride,0,extreme,1053,Main Street,FALSE,22-10-2008,active,47
R073,Phoenix Cove,roller_coaster,80,low,590,Adventure Zone,FALSE,24-07-2016,active,47
R074,Hydra Reef,dark_ride,0,medium,948,Horror Quarter,FALSE,21-11-2018,maintenance,0
R075,Kraken Shore,drop_tower,100,high,395,Splash Valley,FALSE,11-05-2023,closed,0
R076,Cyclops Beach,water_ride,90,extreme,988,Family Land,FALSE,18-12-2011,active,19
R077,Griffin Island,carousel,0,low,503,Kids Corner,FALSE,22-04-2008,active,6
R078,Minotaur Haven,kiddie_ride,0,medium,347,Main Street,FALSE,29-06-2010,active,35
R079,Chimera Harbor,roller_coaster,120,high,1086,Adventure Zone,FALSE,20-08-2006,maintenance,0
R080,Sphinx Port,dark_ride,0,extreme,766,Horror Quarter,FALSE,19-04-2014,closed,0
R081,Alpha Storm,drop_tower,130,low,889,Splash Valley,FALSE,12-05-2009,active,50
R082,Beta Thunder,water_ride,130,medium,693,Family Land,FALSE,02-02-2016,active,30
R083,Gamma Lightning,carousel,0,high,549,Kids Corner,FALSE,23-04-2008,active,46
R084,Delta Bolt,kiddie_ride,0,extreme,1004,Main Street,FALSE,15-02-2005,maintenance,0
R085,Omega Shock,roller_coaster,80,low,1097,Adventure Zone,FALSE,15-07-2014,closed,0
R086,Sigma Spark,dark_ride,0,medium,524,Horror Quarter,FALSE,11-12-2008,active,56
R087,Lambda Flash,drop_tower,130,high,830,Splash Valley,FALSE,03-06-2015,active,8
R088,Zeta Flare,water_ride,120,extreme,555,Family Land,FALSE,22-09-2007,active,34
R089,Theta Blaze,carousel,0,low,436,Kids Corner,FALSE,23-12-2022,maintenance,0
R090,Kappa Flame,kiddie_ride,0,medium,775,Main Street,FALSE,22-12-2019,closed,0
R091,Inferno Echo,roller_coaster,120,high,872,Adventure Zone,FALSE,10-05-2018,active,25
R092,Glacier Vortex,dark_ride,0,extreme,1073,Horror Quarter,FALSE,05-12-2014,active,44
R093,Avalanche Spiral,drop_tower,130,low,816,Splash Valley,FALSE,28-07-2014,active,58
R094,Tsunami Helix,water_ride,120,medium,756,Family Land,FALSE,27-07-2008,maintenance,0
R095,Tornado Orbit,carousel,0,high,1061,Kids Corner,FALSE,25-08-2015,closed,0
R096,Cyclone Nova,kiddie_ride,0,extreme,760,Main Street,FALSE,25-10-2010,active,53
R097,Hurricane Comet,roller_coaster,90,low,952,Adventure Zone,FALSE,22-03-2011,active,54
R098,Blizzard Meteor,dark_ride,0,medium,1096,Horror Quarter,FALSE,10-09-2016,active,36
R099,Tempest Asteroid,drop_tower,130,high,544,Splash Valley,FALSE,28-02-2011,maintenance,0
R100,Volcano Galaxy,water_ride,110,extreme,379,Family Land,FALSE,02-01-2021,closed,0
