event_id,event_name,event_start_date,event_end_date,event_type,external_partner,tickets_allocated,tickets_sold,revenue,description
HE045,Winter Terror Tour,28-06-2024,28-07-2024,special,Nightmare Collective Inc.,1881,1398,136125.95,Special haunted event: winter terror tour.
HE046,Winter Ghost Walk,03-05-2024,18-05-2024,seasonal,Spooky Ventures Co.,4790,3961,341984.43,Seasonal haunted event: winter ghost walk.
HE047,Winter Death March,17-07-2025,13-08-2025,seasonal,Crypt Keepers LLC,5163,4274,205261.48,Seasonal haunted event: winter death march.
HE048,Winter Horror Gala,12-02-2022,16-02-2022,special,Terror Trail Agency,2719,1785,146809.09,Special haunted event: winter horror gala.
HE049,Winter Fear Fest,30-04-2022,14-05-2022,seasonal,Haunted Horizons,2655,2349,275709.07,Seasonal haunted event: winter fear fest.
HE050,Winter Dread Night,06-07-2025,06-08-2025,seasonal,Scare Syndicate LLC,5016,4186,236783.3,Seasonal haunted event: winter dread night.
HE051,Winter Scare Season,25-07-2022,22-08-2022,special,Dark Arts Events Co.,3433,2875,290468.02,Special haunted event: winter scare season.
HE052,Winter Haunt Week,27-06-2023,12-07-2023,seasonal,Ghostly Productions Inc.,2895,2000,218017.1,Seasonal haunted event: winter haunt week.
HE053,Winter Fright Fest,03-07-2024,31-07-2024,seasonal,Horror Haus GmbH,5890,5127,346762.97,Seasonal haunted event: winter fright fest.
HE054,Winter Scream Week,02-01-2023,14-01-2023,special,Frightful Experiences Ltd,2249,1561,85264.97,Special haunted event: winter scream week.
HE055,Winter Horror Weekend,18-03-2025,15-04-2025,seasonal,Nightmare Collective Inc.,5932,5126,238511.83,Seasonal haunted event: winter horror weekend.
HE056,Winter Panic Night,08-09-2024,27-09-2024,seasonal,Spooky Ventures Co.,5326,5146,462373.72,Seasonal haunted event: winter panic night.
HE057,Winter Crypt Tour,03-06-2022,21-06-2022,special,Crypt Keepers LLC,2162,1767,136210.51,Special haunted event: winter crypt tour.
HE058,Winter Dark Carnival,24-08-2022,04-09-2022,seasonal,Terror Trail Agency,4247,2695,162286.38,Seasonal haunted event: winter dark carnival.
HE059,Winter Horror Maze,09-01-2022,28-01-2022,seasonal,Haunted Horizons,5775,5648,309407.28,Seasonal haunted event: winter horror maze.
HE060,Winter Fear Trail,25-01-2022,13-02-2022,special,Scare Syndicate LLC,2813,2534,135666.21,Special haunted event: winter fear trail.
HE061,Valentine Nightmare Fest,06-10-2022,25-10-2022,seasonal,Dark Arts Events Co.,589,454,15096.75,Seasonal haunted event: valentine nightmare fest.
HE062,Valentine Horror Special,03-12-2023,20-12-2023,seasonal,Ghostly Productions Inc.,2083,1817,178060.02,Seasonal haunted event: valentine horror special.
HE063,Valentine Fright Nights,21-11-2022,18-12-2022,special,Horror Haus GmbH,3796,2394,221680.47,Special haunted event: valentine fright nights.
HE064,Valentine Scream Date,05-05-2024,13-05-2024,seasonal,Frightful Experiences Ltd,1744,1165,85766.77,Seasonal haunted event: valentine scream date.
HE065,Valentine Terror Tour,13-07-2023,22-07-2023,seasonal,Nightmare Collective Inc.,5580,4843,176082.21,Seasonal haunted event: valentine terror tour.
HE066,Valentine Ghost Walk,10-02-2023,07-03-2023,special,Spooky Ventures Co.,4779,3222,300173.6,Special haunted event: valentine ghost walk.
HE067,Valentine Death March,29-08-2025,29-09-2025,seasonal,Crypt Keepers LLC,4582,2915,282487.29,Seasonal haunted event: valentine death march.
HE068,Valentine Horror Gala,21-08-2022,14-09-2022,seasonal,Terror Trail Agency,1229,1159,49055.6,Seasonal haunted event: valentine horror gala.
HE069,Valentine Fear Fest,21-01-2025,24-01-2025,special,Haunted Horizons,471,413,36424.58,Special haunted event: valentine fear fest.
HE070,Valentine Dread Night,08-12-2022,20-12-2022,seasonal,Scare Syndicate LLC,2096,1886,159826.9,Seasonal haunted event: valentine dread night.
HE071,Valentine Scare Season,05-06-2025,11-06-2025,seasonal,Dark Arts Events Co.,2986,1899,209607.08,Seasonal haunted event: valentine scare season.
HE072,Valentine Haunt Week,04-07-2025,18-07-2025,special,Ghostly Productions Inc.,1740,1358,62687.7,Special haunted event: valentine haunt week.
HE073,Valentine Fright Fest,16-08-2022,21-08-2022,seasonal,Horror Haus GmbH,4267,3876,453482.93,Seasonal haunted event: valentine fright fest.
HE074,Valentine Scream Week,26-01-2022,03-02-2022,seasonal,Frightful Experiences Ltd,3287,2170,217973.8,Seasonal haunted event: valentine scream week.
HE075,Valentine Horror Weekend,28-04-2023,17-05-2023,special,Nightmare Collective Inc.,3836,3802,385386.67,Special haunted event: valentine horror weekend.
HE076,Valentine Panic Night,14-06-2022,13-07-2022,seasonal,Spooky Ventures Co.,1522,1083,107936.17,Seasonal haunted event: valentine panic night.
HE077,Valentine Crypt Tour,04-02-2024,13-02-2024,seasonal,Crypt Keepers LLC,2767,1753,144781.95,Seasonal haunted event: valentine crypt tour.
HE078,Valentine Dark Carnival,11-02-2022,21-02-2022,special,Terror Trail Agency,1501,1035,118950.39,Special haunted event: valentine dark carnival.
HE079,Valentine Horror Maze,08-08-2023,03-09-2023,seasonal,Haunted Horizons,4754,3457,193969.53,Seasonal haunted event: valentine horror maze.
HE080,Valentine Fear Trail,05-10-2024,19-10-2024,seasonal,Scare Syndicate LLC,792,495,30609.21,Seasonal haunted event: valentine fear trail.
HE081,Spring Nightmare Fest,27-05-2025,18-06-2025,special,Dark Arts Events Co.,2799,2364,212190.69,Special haunted event: spring nightmare fest.
HE082,Spring Horror Special,12-03-2022,25-03-2022,seasonal,Ghostly Productions Inc.,2417,2074,104523.71,Seasonal haunted event: spring horror special.
HE083,Spring Fright Nights,05-11-2022,28-11-2022,seasonal,Horror Haus GmbH,5724,3509,346454.4,Seasonal haunted event: spring fright nights.
HE084,Spring Scream Date,15-08-2023,08-09-2023,special,Frightful Experiences Ltd,3473,2941,223823.34,Special haunted event: spring scream date.
HE085,Spring Terror Tour,12-04-2023,18-04-2023,seasonal,Nightmare Collective Inc.,4493,3527,420586.56,Seasonal haunted event: spring terror tour.
HE086,Spring Ghost Walk,11-03-2023,19-03-2023,seasonal,Spooky Ventures Co.,5506,4367,195402.24,Seasonal haunted event: spring ghost walk.
HE087,Spring Death March,07-03-2025,11-03-2025,special,Crypt Keepers LLC,3761,2264,183158.83,Special haunted event: spring death march.
HE088,Spring Horror Gala,28-02-2022,27-03-2022,seasonal,Terror Trail Agency,1855,1247,138481.01,Seasonal haunted event: spring horror gala.
HE089,Spring Fear Fest,04-01-2023,25-01-2023,seasonal,Haunted Horizons,2661,1721,204847.47,Seasonal haunted event: spring fear fest.
HE090,Spring Dread Night,06-06-2023,12-06-2023,special,Scare Syndicate LLC,4949,4534,311742.4,Special haunted event: spring dread night.
HE091,Spring Scare Season,07-01-2022,06-02-2022,seasonal,Dark Arts Events Co.,5472,3428,258018.8,Seasonal haunted event: spring scare season.
HE092,Spring Haunt Week,02-07-2024,05-07-2024,seasonal,Ghostly Productions Inc.,1556,1535,78282.66,Seasonal haunted event: spring haunt week.
HE093,Spring Fright Fest,09-06-2024,14-06-2024,special,Horror Haus GmbH,4117,3723,142179.37,Special haunted event: spring fright fest.
HE094,Spring Scream Week,25-10-2024,31-10-2024,seasonal,Frightful Experiences Ltd,2105,2014,164260.57,Seasonal haunted event: spring scream week.
HE095,Spring Horror Weekend,03-03-2023,26-03-2023,seasonal,Nightmare Collective Inc.,1022,836,71080.64,Seasonal haunted event: spring horror weekend.
HE096,Spring Panic Night,22-12-2022,27-12-2022,special,Spooky Ventures Co.,4094,3967,439413.42,Special haunted event: spring panic night.
HE097,Spring Crypt Tour,20-12-2022,16-01-2023,seasonal,Crypt Keepers LLC,5823,4543,204915.92,Seasonal haunted event: spring crypt tour.
HE098,Spring Dark Carnival,22-11-2024,14-12-2024,seasonal,Terror Trail Agency,4332,3711,137130.31,Seasonal haunted event: spring dark carnival.
HE099,Spring Horror Maze,08-05-2023,25-05-2023,special,Haunted Horizons,2057,1937,181011.02,Special haunted event: spring horror maze.
HE100,Spring Fear Trail,20-03-2024,06-04-2024,seasonal,Scare Syndicate LLC,4799,3027,156635.04,Seasonal haunted event: spring fear trail.
