transaction_id,customer_id,visit_date,category,item_name,quantity,unit_price,total_amount,payment_method,location
S090,C090,22-11-2023,merchandise,Park T-Shirt,3,24.99,74.97,cash,Kids Corner Games
S091,C091,25-07-2024,game,Duck Pond,1,4,4,kiosk,Guest Services Kiosk
S092,C092,23-10-2023,photo,Green Screen Portrait,3,29.99,89.97,mobile,Sweet Treats Stand
S093,C093,02-08-2024,food,Funnel Cake,4,14.99,59.96,credit_card,Horror Merch Den
S094,C094,17-08-2024,merchandise,Snow Globe,2,19.99,39.98,cash,Pizza Palace
S095,C095,15-01-2024,game,Coin Flip,4,3,12,kiosk,Arcade Hall
S096,C096,24-11-2023,photo,Annual Pass Photo Card,3,19.99,59.97,mobile,Chill Zone
S097,C097,09-03-2024,food,Chicken Tenders,4,11.99,47.96,credit_card,Photo Studio
S098,C098,20-01-2024,merchandise,Water Bottle,3,22.99,68.97,cash,Main Street Grill
S099,C099,19-08-2024,game,Fishing Game,2,2.5,5,kiosk,Souvenir Shop East
S100,C100,23-05-2024,photo,Ride Photo Package,2,39.99,79.98,mobile,Midway Games
